Gene	Num
SGIP1	28
OR8H2	28
NLRP4	28
PDHA2	28
APC	28
LRRC66	28
FRG2C	28
PLCL1	28
KIAA1755	28
LTBP2	28
SLC9A4	27
ALK	27
FREM2	27
KCNK2	27
FREM1	27
ADAM19	27
LGR5	27
NOS1	27
PCDHB16	27
CLCA4	27
RAG1	27
OGDHL	27
PYHIN1	27
PLCB4	27
ZBBX	27
OR5T3	27
BDP1	27
ABCB11	27
TMEM200A	27
ATP10D	27
LRFN2	27
GALNT13	27
INHBA	27
CTTNBP2	27
ITGAD	27
AGMO	27
FSIP2	27
PTPRN2	27
GFRAL	27
RGS7	27
HHIPL2	27
RAD51AP2	27
NES	27
ABCC9	27
CHRM3	27
KIF1A	27
EP400	27
NLRP2	27
PCDHGA5	27
TACC2	27
NLRP7	27
ZSWIM2	27
AKAP9	27
EPB41L3	27
FANCM	27
CNGB3	27
SYNPO2	27
PDE3A	27
COL15A1	27
PCDHA4	27
EDIL3	27
CAMTA1	27
MAGEC2	26
RB1	26
NIPBL	26
VPS13D	26
TECTA	26
CR1	26
PTPRH	26
TECRL	26
EGFLAM	26
PZP	26
SLC12A5	26
NRAP	26
NELL2	26
DOCK4	26
OR2T34	26
OR51V1	26
POTEF	26
RTL9	26
TMEM132E	26
HFM1	26
KCNC2	26
HERC1	26
ALPK2	26
COL4A6	26
DLC1	26
ANO4	26
MUC2	26
KCNB1	26
SRRM2	26
DTNA	26
TAS1R2	26
ARID2	26
OR14K1	26
EXPH5	26
PREX2	26
PCDHGA6	26
ATP2B3	26
OR4N2	26
FLT1	26
OCA2	26
OR2AK2	26
COL21A1	26
MS4A14	26
OR4A5	26
TRIO	26
PDE1C	26
FRY	26
OR5F1	26
NETO1	26
USP34	25
MTOR	25
COL25A1	25
COL9A1	25
ANKS1B	25
TNXB	25
DOP1B	25
PCDHB5	25
OR2T12	25
DPP10	25
DLGAP3	25
GABRG2	25
CACNA1F	25
PARD3B	25
DSG4	25
GABRA6	25
LILRB1	25
OR2T1	25
ARID1B	25
GUCY1A2	25
SPAM1	25
AMPH	25
LAMA5	25
DACH2	25
FBN1	25
NLRP10	25
GTF3C1	25
CHD5	25
POLE	25
PIK3CA	25
CNTN3	25
GPRC6A	25
ADAM23	25
UTRN	25
SLC27A6	25
MTUS2	25
GABRG3	25
OR2M2	25
MYH11	25
PCDHB10	25
SLC8A3	25
OR14A16	25
OR6K2	25
SLC44A5	25
PCDHGA8	25
TPR	25
PRKD1	25
ZFYVE26	25
ARMC3	25
SLC12A1	25
SLITRK5	25
PROS1	25
PCDH7	25
PRRC2C	25
OR5W2	25
OR4Q3	25
OR1C1	25
SETX	25
FZD10	25
SPATA31A3	24
ZFHX3	24
OR2L3	24
LRRK2	24
ACSM5	24
ACTRT1	24
TRPC6	24
ADCY10	24
TEP1	24
GUCY2F	24
GRIK1	24
CYP11B2	24
ATP2B2	24
ADCY5	24
C6	24
NCAM2	24
OR5AS1	24
CLSTN2	24
OR10J3	24
DACH1	24
ARHGAP36	24
CCKBR	24
ALPK1	24
CASS4	24
TRIML1	24
CLCA2	24
PRKCB	24
OR11H1	24
RTL3	24
PCDHGA1	24
RAPGEF2	24
SLC26A7	24
VWF	24
DLG5	24
KIF21A	24
DNAH17	24
ROBO1	24
DPP6	24
ZC3H13	24
USP9X	24
MDN1	24
ARAP2	24
TRPV6	24
NLRP8	24
PRG4	24
LEPR	24
OR8I2	24
CFAP54	24
SLC6A5	24
CELSR3	24
OR10Q1	24
KEL	24
DSG1	24
CDKN2A	24
OR10G8	24
OR2T6	24
MIA2	24
GREB1	24
PCDH19	24
CHD8	24
ABCA9	24
PCDHA7	24
OR5J2	24
CACNA1A	24
MTCL1	24
OR2L2	24
OR4M1	24
HSPG2	24
SEMA3D	24
PKP2	24
MAP1B	24
TBX15	23
DSP	23
PIK3C2B	23
TRPM2	23
TET1	23
LILRB2	23
VCAM1	23
PGK2	23
AL592490.1	23
SPTB	23
CREBBP	23
PCDHGB1	23
ZNF257	23
CTNNA3	23
PCDHGA4	23
KCNQ2	23
ANO3	23
IL7R	23
PPFIA2	23
OR2G3	23
ZBED9	23
ICE1	23
TLN2	23
SERPINB3	23
SIGLEC10	23
PLXNA2	23
ITIH5	23
UGT3A1	23
FAM171B	23
ARHGAP32	23
SPTBN1	23
PMFBP1	23
VWA3B	23
OR2T3	23
BRINP1	23
ARHGEF6	23
ITGAM	23
GAD2	23
OR8J3	23
PCDH8	23
OR5T2	23
BACH2	23
FCRL2	23
IL16	23
OR4S2	23
UBA6	23
TLL2	23
DNAH1	23
ADAMTS3	23
OR5D16	23
WDR17	23
MAGEL2	23
CDHR2	23
PDZRN4	23
SYT10	23
KCNA5	23
HEATR1	23
SCN4A	23
PXDN	23
C2CD3	23
ATP8A2	23
PLCE1	23
OR14C36	23
OR10Z1	23
DAB1	23
TKTL2	23
ACSM2B	22
PCDHGB3	22
MYH15	22
P2RY10	22
AEBP1	22
RBFOX1	22
FAM171A1	22
TNC	22
SIGLEC1	22
SZT2	22
CYLC1	22
OR2B11	22
LVRN	22
OR56A4	22
ASAP1	22
PDE11A	22
COL2A1	22
CAPN6	22
NCAM1	22
PCNX1	22
TFAP2D	22
CACNA1S	22
LILRA2	22
MKRN3	22
CFAP61	22
PKD1	22
TUBA3C	22
OR4N5	22
